ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,16,K11,Mañana,09:00,09:46,21.96,84.19,5,98.0,126.2
2,15,K11,Mañana,09:00,10:05,25.47,99.16,8,153.0,126.2
3,12,K11,Mañana,09:00,09:51,16.42,63.25,7,128.0,126.2
4,13,K11,Mañana,09:00,10:03,18.05,70.22,9,127.0,126.2
5,5,K11,Mañana,09:00,10:08,18.76,73.55,10,131.0,126.2
6,10,K11,Mañana,09:00,10:15,20.21,79.56,11,140.0,126.2
7,8,K11,Mañana,09:00,10:16,26.2,103.23,10,177.0,126.2
8,6,K11,Mañana,09:00,10:17,27.09,106.91,10,173.0,126.2
9,11,K11,Mañana,09:00,10:14,19.01,74.86,11,174.0,126.2
10,0,K11,Mañana,09:00,10:37,32.63,129.86,13,184.0,126.2
11,9,K11,Mañana,09:00,10:07,12.13,47.34,11,193.0,126.2
11,9,K12,Tarde,15:00,15:06,1.03,4.47,1,19.0,126.2
12,2,K11,Mañana,09:00,10:28,23.18,92.22,13,193.0,126.2
12,2,K12,Tarde,15:00,15:23,8.72,37.62,3,63.0,126.2
13,1,K11,Mañana,09:00,10:23,23.89,94.3,12,199.0,126.2
13,1,K12,Tarde,15:00,15:13,8.88,38.47,1,9.0,126.2
14,14,K11,Mañana,09:00,10:21,16.2,64.13,13,196.0,126.2
14,14,K12,Tarde,15:00,15:12,7.05,30.53,1,11.0,126.2
15,7,K11,Mañana,09:00,10:02,12.12,47.09,10,187.0,126.2
15,7,K12,Tarde,15:00,15:31,6.66,28.62,5,89.0,126.2
16,4,K11,Mañana,09:00,10:27,17.26,68.08,14,192.0,126.2
16,4,K12,Tarde,15:00,15:14,4.31,18.69,2,36.0,126.2
17,3,K11,Mañana,09:00,10:20,20.54,80.82,12,197.0,126.2
17,3,K12,Tarde,15:00,15:45,10.75,45.76,7,117.0,126.2
