ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,0,K11,Mañana,09:00,12:38,158.95,644.26,12,60.0,3459.6
2,1,K11,Mañana,09:00,13:05,180.4,729.78,13,24.0,3459.6
3,2,K11,Mañana,09:00,10:03,48.43,187.18,3,63.0,3459.6
3,2,K12,Tarde,15:00,15:36,31.67,136.5,1,47.0,3459.6
4,2,K21,Mañana,11:00,11:32,22.56,93.98,2,57.0,3459.6
4,2,K22,Tarde,17:00,18:34,69.4,223.87,5,64.0,3459.6
5,2,K11,Mañana,09:00,09:22,17.03,65.3,1,60.0,3459.6
5,2,K12,Tarde,15:00,15:26,21.82,94.34,1,49.0,3459.6
6,3,K11,Mañana,09:00,11:54,159.53,640.17,3,57.0,3459.6
7,4,K11,Mañana,09:00,12:58,163.9,664.48,15,40.0,3459.6
8,5,K11,Mañana,09:00,12:30,180.53,726.19,6,62.0,3459.6
8,5,K12,Tarde,15:00,17:18,133.87,564.9,1,23.0,3459.6
9,6,K11,Mañana,09:00,13:29,189.33,766.29,16,38.0,3459.6
9,6,K12,Tarde,15:00,16:58,113.97,484.19,1,43.0,3459.6
10,7,K11,Mañana,09:00,12:01,136.16,549.75,9,36.0,3459.6
11,8,K11,Mañana,09:00,14:07,277.66,1114.79,6,39.0,3459.6
12,9,K11,Mañana,09:00,11:55,120.06,484.44,11,46.0,3459.6
12,9,K12,Tarde,15:00,16:04,59.66,254.85,1,28.0,3459.6
13,10,K11,Mañana,09:00,12:07,127.44,513.99,12,17.0,3459.6
14,11,K11,Mañana,09:00,12:32,172.61,696.5,8,65.0,3459.6
14,11,K12,Tarde,15:00,17:48,153.72,609.41,3,65.0,3459.6
15,12,K11,Mañana,09:00,11:26,101.95,409.4,9,63.0,3459.6
15,12,K12,Tarde,15:00,16:02,57.24,244.7,1,12.0,3459.6
16,13,K11,Mañana,09:00,11:09,104.1,417.08,5,65.0,3459.6
16,13,K12,Tarde,15:00,17:25,110.43,431.73,7,29.0,3459.6
17,14,K11,Mañana,09:00,12:06,141.74,572.08,9,65.0,3459.6
18,15,K11,Mañana,09:00,12:35,205.54,823.25,2,61.0,3459.6
18,15,K12,Tarde,15:00,19:21,241.29,877.48,4,42.0,3459.6
19,16,K11,Mañana,09:00,11:05,95.13,382.0,6,50.0,3459.6
19,16,K12,Tarde,15:00,16:14,59.99,254.98,3,39.0,3459.6
20,17,K11,Mañana,09:00,13:11,216.08,869.89,7,23.0,3459.6
21,18,K11,Mañana,09:00,12:02,147.85,594.59,7,38.0,3459.6
22,19,K11,Mañana,09:00,12:57,207.24,830.22,6,61.0,3459.6
22,19,K12,Tarde,15:00,18:31,196.76,758.27,3,60.0,3459.6
23,20,K11,Mañana,09:00,12:49,194.21,783.15,7,59.0,3459.6
24,21,K11,Mañana,09:00,10:59,84.06,336.34,7,18.0,3459.6
25,22,K11,Mañana,09:00,13:34,219.39,884.94,11,24.0,3459.6
26,23,K11,Mañana,09:00,10:56,76.15,304.23,8,64.0,3459.6
26,23,K12,Tarde,15:00,15:42,37.2,160.05,1,6.0,3459.6
27,24,K11,Mañana,09:00,15:08,323.17,1298.14,9,23.0,3459.6
28,25,K11,Mañana,09:00,11:08,88.65,355.95,8,65.0,3459.6
29,26,K11,Mañana,09:00,11:21,101.94,409.42,8,34.0,3459.6
30,27,K11,Mañana,09:00,12:50,175.78,708.83,11,50.0,3459.6
30,27,K12,Tarde,15:00,17:24,139.39,584.04,1,42.0,3459.6
31,28,K11,Mañana,09:00,13:12,242.7,971.78,2,62.0,3459.6
31,28,K12,Tarde,15:00,19:07,242.34,938.44,1,9.0,3459.6
32,29,K11,Mañana,09:00,11:23,83.61,336.58,12,36.0,3459.6
33,30,K11,Mañana,09:00,13:23,248.67,993.21,3,41.0,3459.6
34,31,K11,Mañana,09:00,12:59,194.84,782.77,9,27.0,3459.6
35,32,K11,Mañana,09:00,11:14,109.88,440.57,5,26.0,3459.6
36,33,K11,Mañana,09:00,11:02,87.19,348.99,7,18.0,3459.6
37,34,K11,Mañana,09:00,13:11,246.36,983.75,1,10.0,3459.6
38,35,K11,Mañana,09:00,11:45,130.94,527.15,7,19.0,3459.6
39,36,K11,Mañana,09:00,12:52,187.06,751.76,9,47.0,3459.6
40,37,K11,Mañana,09:00,12:57,197.8,794.53,8,11.0,3459.6
41,38,K11,Mañana,09:00,10:14,54.56,212.39,4,60.0,3459.6
41,38,K12,Tarde,15:00,16:01,36.56,155.23,5,29.0,3459.6
42,39,K11,Mañana,09:00,11:13,103.33,413.85,6,29.0,3459.6
43,40,K11,Mañana,09:00,10:10,50.86,197.47,4,52.0,3459.6
44,41,K11,Mañana,09:00,13:48,273.74,1093.9,3,27.0,3459.6
45,42,K11,Mañana,09:00,09:12,7.52,28.84,1,26.0,3459.6
45,42,K12,Tarde,15:00,15:19,9.81,42.45,2,64.0,3459.6
46,42,K21,Mañana,11:00,11:23,13.96,58.17,2,62.0,3459.6
46,42,K22,Tarde,17:00,17:40,25.15,81.51,3,62.0,3459.6
47,43,K11,Mañana,09:00,11:23,128.68,516.5,3,65.0,3459.6
47,43,K12,Tarde,15:00,17:04,114.5,481.43,2,48.0,3459.6
48,43,K21,Mañana,11:00,12:53,103.53,431.37,2,53.0,3459.6
48,43,K22,Tarde,17:00,19:24,139.45,471.27,1,34.0,3459.6
49,44,K11,Mañana,09:00,11:35,125.58,503.89,6,21.0,3459.6
50,45,K11,Mañana,09:00,10:18,48.4,189.9,6,27.0,3459.6
50,45,K12,Tarde,15:00,15:22,17.99,77.9,1,42.0,3459.6
