ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,Global,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,Global,K11,27,09:05,"(80.0, 55.0)",21.1,2.0
1,Mañana,Global,K11,8,09:14,"(84.0, 39.0)",16.49,16.0
1,Mañana,Global,K11,14,09:23,"(84.0, 25.0)",14.0,16.0
1,Mañana,Global,K11,20,09:34,"(93.0, 3.0)",23.77,24.0
1,Mañana,Global,K11,18,09:40,"(91.0, 2.0)",2.24,19.0
1,Mañana,Global,K11,32,09:47,"(98.0, 5.0)",7.62,9.0
1,Mañana,Global,K11,22,09:54,"(98.0, 14.0)",9.0,12.0
1,Mañana,Global,K11,DEPOT (RETORNO),10:15,N/A,64.03,0.0
1,Tarde,Global,K12,DEPOT,15:00,N/A,0.0,0.0
1,Tarde,Global,K12,24,15:18,"(42.0, 9.0)",78.03,8.0
1,Tarde,Global,K12,3,15:25,"(50.0, 5.0)",8.94,21.0
1,Tarde,Global,K12,4,15:30,"(49.0, 8.0)",3.16,6.0
1,Tarde,Global,K12,7,15:41,"(58.0, 30.0)",23.77,12.0
1,Tarde,Global,K12,2,15:56,"(96.0, 44.0)",40.5,19.0
1,Tarde,Global,K12,17,16:03,"(88.0, 51.0)",10.63,18.0
1,Tarde,Global,K12,31,16:11,"(85.0, 60.0)",9.49,14.0
1,Tarde,Global,K12,DEPOT (RETORNO),16:20,N/A,16.28,0.0
2,Mañana,Global,K21,DEPOT,11:00,N/A,0.0,0.0
2,Mañana,Global,K21,21,11:08,"(50.0, 93.0)",36.24,8.0
2,Mañana,Global,K21,6,11:18,"(29.0, 89.0)",21.38,7.0
2,Mañana,Global,K21,26,11:28,"(9.0, 97.0)",21.54,24.0
2,Mañana,Global,K21,11,11:37,"(3.0, 82.0)",16.16,8.0
2,Mañana,Global,K21,16,11:46,"(1.0, 65.0)",17.12,22.0
2,Mañana,Global,K21,30,11:56,"(20.0, 70.0)",19.65,2.0
2,Mañana,Global,K21,25,12:11,"(61.0, 62.0)",41.77,24.0
2,Mañana,Global,K21,DEPOT (RETORNO),12:22,N/A,25.24,0.0
2,Tarde,Global,K22,DEPOT,17:00,N/A,0.0,0.0
2,Tarde,Global,K22,28,17:07,"(57.0, 69.0)",25.96,20.0
2,Tarde,Global,K22,15,17:15,"(61.0, 59.0)",10.77,3.0
2,Tarde,Global,K22,29,17:38,"(23.0, 15.0)",58.14,15.0
2,Tarde,Global,K22,5,17:48,"(13.0, 7.0)",12.81,19.0
2,Tarde,Global,K22,12,17:55,"(5.0, 10.0)",8.54,14.0
2,Tarde,Global,K22,9,18:06,"(14.0, 24.0)",16.64,6.0
2,Tarde,Global,K22,19,18:14,"(19.0, 32.0)",9.43,1.0
2,Tarde,Global,K22,10,18:24,"(2.0, 39.0)",18.38,16.0
2,Tarde,Global,K22,23,18:30,"(5.0, 42.0)",4.24,4.0
2,Tarde,Global,K22,DEPOT (RETORNO),18:58,N/A,84.17,0.0
3,Mañana,Global,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,Global,K11,13,09:07,"(98.0, 52.0)",28.84,21.0
3,Mañana,Global,K11,DEPOT (RETORNO),09:20,N/A,28.84,0.0
