ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,8,K11,Mañana,09:00,09:56,31.27,120.43,5,51.0,55.3
2,6,K11,Mañana,09:00,09:42,22.37,85.76,4,76.0,55.3
3,9,K11,Mañana,09:00,10:06,36.2,140.61,6,85.0,55.3
3,9,K12,Tarde,15:00,15:27,22.25,96.21,1,23.0,55.3
4,3,K11,Mañana,09:00,10:42,57.58,228.78,9,84.0,55.3
5,1,K11,Mañana,09:00,10:06,26.33,102.62,8,90.0,55.3
6,0,K11,Mañana,09:00,10:39,59.45,237.27,8,91.0,55.3
6,0,K12,Tarde,15:00,15:52,42.06,180.06,2,36.0,55.3
7,4,K11,Mañana,09:00,10:25,50.85,201.05,7,89.0,55.3
8,7,K11,Mañana,09:00,10:42,67.28,267.98,7,38.0,55.3
9,5,K11,Mañana,09:00,10:27,47.5,188.41,8,95.0,55.3
9,5,K12,Tarde,15:00,15:43,28.77,123.22,3,40.0,55.3
10,2,K11,Mañana,09:00,10:24,49.93,197.62,7,99.0,55.3
10,2,K12,Tarde,15:00,15:54,34.11,145.15,4,45.0,55.3
