ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,0,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,0,K11,124,09:07,"(16.0, 57.0)",29.07,16.0
1,Mañana,0,K11,20,09:13,"(15.0, 60.0)",3.16,17.0
1,Mañana,0,K11,108,09:19,"(17.0, 63.0)",3.61,19.0
1,Mañana,0,K11,176,09:24,"(17.0, 64.0)",1.0,14.0
1,Mañana,0,K11,12,09:30,"(20.0, 65.0)",3.16,12.0
1,Mañana,0,K11,65,09:38,"(15.0, 77.0)",13.0,9.0
1,Mañana,0,K11,50,09:47,"(6.0, 68.0)",12.73,30.0
1,Mañana,0,K11,144,09:53,"(5.0, 64.0)",4.12,11.0
1,Mañana,0,K11,37,09:59,"(2.0, 60.0)",5.0,5.0
1,Mañana,0,K11,48,10:06,"(8.0, 56.0)",7.21,27.0
1,Mañana,0,K11,169,10:11,"(9.0, 56.0)",1.0,13.0
1,Mañana,0,K11,125,10:17,"(8.0, 52.0)",4.12,10.0
1,Mañana,0,K11,47,10:24,"(2.0, 48.0)",7.21,1.0
1,Mañana,0,K11,DEPOT (RETORNO),10:37,N/A,35.47,0.0
2,Mañana,1,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,1,K11,149,09:05,"(25.0, 55.0)",22.36,17.0
2,Mañana,1,K11,63,09:11,"(24.0, 58.0)",3.16,19.0
2,Mañana,1,K11,160,09:17,"(26.0, 59.0)",2.24,29.0
2,Mañana,1,K11,127,09:24,"(27.0, 68.0)",9.06,7.0
2,Mañana,1,K11,64,09:29,"(27.0, 69.0)",1.0,10.0
2,Mañana,1,K11,182,09:36,"(31.0, 76.0)",8.06,25.0
2,Mañana,1,K11,132,09:44,"(37.0, 69.0)",9.22,11.0
2,Mañana,1,K11,33,09:49,"(35.0, 69.0)",2.0,23.0
2,Mañana,1,K11,91,09:55,"(31.0, 67.0)",4.47,3.0
2,Mañana,1,K11,109,10:02,"(31.0, 62.0)",5.0,23.0
2,Mañana,1,K11,11,10:07,"(30.0, 60.0)",2.24,16.0
2,Mañana,1,K11,190,10:12,"(30.0, 60.0)",0.0,16.0
2,Mañana,1,K11,DEPOT (RETORNO),10:23,N/A,25.5,0.0
2,Tarde,1,K12,DEPOT,15:00,N/A,0.0,0.0
2,Tarde,1,K12,89,15:04,"(26.0, 52.0)",19.24,9.0
2,Tarde,1,K12,DEPOT (RETORNO),15:13,N/A,19.24,0.0
3,Mañana,2,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,2,K11,6,09:05,"(15.0, 30.0)",20.62,26.0
3,Mañana,2,K11,85,09:11,"(11.0, 31.0)",4.12,7.0
3,Mañana,2,K11,174,09:17,"(11.0, 28.0)",3.0,6.0
3,Mañana,2,K11,114,09:23,"(5.0, 25.0)",6.71,23.0
3,Mañana,2,K11,18,09:30,"(5.0, 30.0)",5.0,2.0
3,Mañana,2,K11,46,09:37,"(6.0, 38.0)",8.06,16.0
3,Mañana,2,K11,126,09:42,"(7.0, 38.0)",1.0,28.0
3,Mañana,2,K11,175,09:48,"(7.0, 43.0)",5.0,27.0
3,Mañana,2,K11,9,09:54,"(10.0, 43.0)",3.0,9.0
3,Mañana,2,K11,115,10:00,"(12.0, 42.0)",2.24,21.0
3,Mañana,2,K11,200,10:06,"(12.0, 38.0)",4.0,5.0
3,Mañana,2,K11,84,10:11,"(14.0, 37.0)",2.24,11.0
