ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,8,K11,Mañana,09:00,09:48,28.6,109.65,4,80.0,46.0
2,3,K11,Mañana,09:00,10:16,51.77,201.85,5,67.0,46.0
3,2,K11,Mañana,09:00,10:16,51.1,198.98,5,88.0,46.0
3,2,K12,Tarde,15:00,15:45,40.83,175.45,1,18.0,46.0
4,7,K11,Mañana,09:00,10:09,49.57,191.38,4,41.0,46.0
5,6,K11,Mañana,09:00,10:11,51.78,200.18,4,43.0,46.0
6,5,K11,Mañana,09:00,10:04,29.87,116.15,7,72.0,46.0
7,4,K11,Mañana,09:00,10:12,37.76,147.67,7,94.0,46.0
7,4,K12,Tarde,15:00,15:33,28.3,122.11,1,20.0,46.0
8,1,K11,Mañana,09:00,10:10,35.7,139.43,7,98.0,46.0
8,1,K12,Tarde,15:00,15:31,26.77,115.55,1,9.0,46.0
9,0,K11,Mañana,09:00,10:27,57.82,228.12,6,99.0,46.0
9,0,K12,Tarde,15:00,16:10,50.2,213.19,4,74.0,46.0
