Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,3,K11,Mañana,09:00,09:28,18.3,0.0,10.0,11.0,2
1,2,K12,Tarde,15:00,15:17,12.7,0.0,5.0,6.8,1
2,1,K11,Mañana,09:00,09:37,28.0,0.0,10.0,16.8,2
2,1,K12,Tarde,15:00,15:30,26.0,0.0,5.0,13.9,1
3,2,K11,Mañana,09:00,09:42,32.2,0.0,10.0,19.3,2
3,3,K12,Tarde,15:00,15:37,22.9,0.0,15.0,12.2,3
4,3,K11,Mañana,09:00,10:01,41.7,0.0,20.0,24.9,4
4,6,K12,Tarde,15:00,15:54,44.1,0.0,10.0,23.5,2
5,0,K11,Mañana,09:00,10:13,48.1,0.0,25.0,28.5,5
5,1,K12,Tarde,15:00,16:01,46.4,0.0,15.0,24.7,3
6,4,K11,Mañana,09:00,10:36,76.7,0.0,20.0,45.2,4
6,8,K12,Tarde,15:00,16:02,47.8,0.0,15.0,25.5,3
7,6,K11,Mañana,09:00,10:43,78.4,0.0,25.0,45.9,5
7,0,K12,Tarde,15:00,16:18,68.5,0.0,10.0,36.5,2
8,8,K11,Mañana,10:31,12:36,104.6,0.0,20.0,57.5,4
8,5,K12,Tarde,16:32,19:22,149.4,0.0,20.0,78.9,4
9,1,K11,Mañana,10:44,11:51,47.6,0.0,20.0,26.4,4
10,0,K11,Mañana,10:48,11:18,24.5,0.0,5.0,13.6,1
11,0,K21,Mañana,11:00,11:33,28.6,0.0,5.0,15.8,1
11,0,K22,Tarde,17:00,17:48,38.1,0.0,10.0,20.3,2
12,6,K21,Mañana,11:00,11:34,30.0,0.0,5.0,16.5,1
12,1,K22,Tarde,17:00,18:16,56.6,0.0,20.0,30.2,4
13,3,K21,Mañana,11:00,11:47,22.4,0.0,25.0,12.3,5
13,3,K22,Tarde,17:00,18:18,53.8,0.0,25.0,28.7,5
14,1,K21,Mañana,11:00,12:06,46.2,0.0,20.0,25.3,4
14,5,K22,Tarde,19:16,20:30,48.9,0.0,25.0,25.5,5
15,2,K21,Mañana,11:00,12:06,36.6,0.0,30.0,19.9,6
15,5,K22,Tarde,19:20,21:07,92.3,0.0,15.0,48.2,3
16,5,K11,Mañana,12:00,17:14,18.4,290.8,5.0,9.8,1
17,5,K21,Mañana,14:00,17:16,23.3,168.5,5.0,12.4,1
18,5,K21,Mañana,14:00,17:20,30.8,164.5,5.0,16.4,1
