Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K22,Tarde,17:00,19:47,152.3,0.0,15.0,53.6,3
2,1,K12,Tarde,15:00,17:45,140.7,0.0,25.0,54.5,5
3,3,K22,Tarde,18:41,21:22,141.2,0.0,20.0,63.6,4
4,3,K22,Tarde,18:22,20:43,125.9,0.0,15.0,53.4,3
5,0,K11,Mañana,09:00,11:17,107.8,0.0,30.0,43.0,6
5,3,K12,Tarde,15:00,17:05,110.8,0.0,15.0,45.1,3
6,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
6,3,K12,Tarde,16:25,18:16,101.1,0.0,10.0,35.0,2
7,1,K11,Mañana,09:00,11:12,112.7,0.0,20.0,45.1,4
7,3,K12,Tarde,16:29,18:20,100.7,0.0,10.0,34.7,2
8,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
8,3,K12,Tarde,15:00,16:41,86.4,0.0,15.0,36.3,3
9,1,K21,Mañana,12:23,14:26,102.4,0.0,20.0,43.1,4
9,3,K22,Tarde,17:00,19:01,111.9,0.0,10.0,37.2,2
10,1,K21,Mañana,11:00,13:00,105.8,0.0,15.0,44.1,3
10,1,K22,Tarde,17:00,18:48,98.8,0.0,10.0,31.0,2
11,1,K22,Tarde,17:00,18:43,98.6,0.0,5.0,31.9,1
12,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
12,0,K12,Tarde,15:00,16:18,73.6,0.0,5.0,31.3,1
13,1,K21,Mañana,11:00,12:40,85.4,0.0,15.0,35.6,3
13,4,K22,Tarde,17:00,18:35,85.5,0.0,10.0,27.2,2
14,4,K21,Mañana,12:23,14:03,79.4,0.0,20.0,33.2,4
14,1,K22,Tarde,17:00,18:12,57.4,0.0,15.0,18.5,3
15,0,K21,Mañana,12:35,14:02,67.1,0.0,20.0,28.2,4
15,0,K22,Tarde,17:00,17:53,43.9,0.0,10.0,14.3,2
16,1,K11,Mañana,09:00,10:21,66.3,0.0,15.0,25.9,3
16,3,K12,Tarde,15:00,16:07,57.0,0.0,10.0,24.2,2
17,1,K12,Tarde,15:00,16:06,51.3,0.0,15.0,21.8,3
18,4,K12,Tarde,15:00,16:05,55.3,0.0,10.0,23.6,2
19,1,K21,Mañana,11:00,12:02,47.3,0.0,15.0,19.7,3
19,1,K22,Tarde,17:00,17:53,43.3,0.0,10.0,13.9,2
20,0,K11,Mañana,09:00,09:59,49.7,0.0,10.0,19.1,2
20,3,K12,Tarde,16:49,17:44,40.6,0.0,15.0,13.3,3
