KPI,Valor
Función Objetivo Total ($),239567492.71
Costos de Ruta por Transporte ($),1037521.91
Costos Fijos por Uso de Flota ($),3000000.0
Valor de Penalización por Espera ($),235529970.8
Tiempo de Espera Total (min),4710.6
Distancia Total Recorrida (km),1103.75
Distancia Relativa (km/pedido),9.6
Vehículos Utilizados,30.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,30.0
Tiempo Total en Ruta (horas),119.74
% Entregas a Tiempo,94.8
Tardanza Promedio (min),21.8
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,62.7
% Utilización Volumen,74.4
% Utilización Peso,51.0
Desviación Media de Carga (kg),213.0
Tasa de Desocupación (%),190.4
Espera Total Acumulada (min),4710.6
Emisiones CO2 Totales (kg),455.08
Emisiones CO2 por Pedido (kg),3.957
Litros Diesel Estimados,169.81
Tiempo de Cómputo (min),18.37
