Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K11,Mañana,09:00,09:38,28.4,0.0,10.0,10.9,2
1,1,K12,Tarde,15:00,15:29,24.5,0.0,5.0,10.6,1
2,1,K11,Mañana,09:00,09:51,36.1,0.0,15.0,13.8,3
2,1,K12,Tarde,15:00,15:31,26.8,0.0,5.0,11.6,1
3,1,K11,Mañana,09:00,09:53,48.2,0.0,5.0,18.5,1
3,1,K12,Tarde,15:00,15:56,46.6,0.0,10.0,19.9,2
4,5,K11,Mañana,09:00,10:12,57.7,0.0,15.0,22.4,3
4,1,K12,Tarde,15:00,15:57,37.5,0.0,20.0,15.9,4
5,4,K11,Mañana,09:00,10:47,92.6,0.0,15.0,36.8,3
5,5,K12,Tarde,15:00,16:00,45.7,0.0,15.0,19.4,3
6,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
6,0,K12,Tarde,15:00,16:11,56.9,0.0,15.0,24.2,3
7,0,K11,Mañana,09:00,11:23,123.4,0.0,20.0,49.1,4
7,4,K12,Tarde,15:00,16:29,69.1,0.0,20.0,29.3,4
8,1,K11,Mañana,09:00,11:25,120.1,0.0,25.0,48.0,5
8,1,K12,Tarde,15:00,16:56,101.3,0.0,15.0,41.8,3
9,1,K11,Mañana,10:58,12:36,73.4,0.0,25.0,30.6,5
9,3,K12,Tarde,16:30,18:16,91.7,0.0,15.0,31.1,3
10,1,K21,Mañana,11:00,11:17,12.9,0.0,5.0,5.4,1
10,1,K22,Tarde,17:00,17:42,32.7,0.0,10.0,10.7,2
11,1,K21,Mañana,11:00,11:43,33.6,0.0,10.0,14.0,2
11,0,K22,Tarde,17:00,18:09,60.0,0.0,10.0,19.1,2
12,5,K21,Mañana,11:00,12:03,53.4,0.0,10.0,22.3,2
12,1,K22,Tarde,17:00,18:43,98.6,0.0,5.0,31.9,1
13,1,K21,Mañana,11:00,13:25,120.5,0.0,25.0,50.2,5
13,1,K22,Tarde,17:00,19:01,96.8,0.0,25.0,33.4,5
14,3,K11,Mañana,12:00,12:57,15.4,37.2,5.0,6.4,1
14,3,K12,Tarde,16:49,19:19,134.8,0.0,15.0,44.4,3
15,3,K11,Mañana,12:00,15:20,102.6,87.9,10.0,43.2,2
15,3,K12,Tarde,17:20,19:48,128.1,0.0,20.0,43.5,4
16,3,K11,Mañana,12:00,17:33,79.2,249.1,5.0,30.1,1
17,1,K21,Mañana,12:23,13:47,74.1,0.0,10.0,31.0,2
17,1,K22,Tarde,17:00,19:03,108.2,0.0,15.0,35.8,3
18,4,K21,Mañana,12:26,13:53,72.6,0.0,15.0,30.3,3
18,3,K22,Tarde,18:10,19:43,88.4,0.0,5.0,31.3,1
19,0,K21,Mañana,12:35,14:34,89.6,0.0,30.0,38.1,6
19,3,K22,Tarde,18:22,21:05,153.1,0.0,10.0,63.8,2
20,1,K21,Mañana,12:44,13:20,31.3,0.0,5.0,13.0,1
20,3,K22,Tarde,18:38,20:16,78.2,0.0,20.0,31.9,4
