Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,0,K11,Mañana,09:00,09:52,32.9,0.0,20.0,13.2,4
1,4,K12,Tarde,15:00,15:35,31.0,0.0,5.0,10.7,1
2,0,K11,Mañana,09:00,09:58,28.2,0.0,30.0,11.3,6
2,0,K12,Tarde,15:00,15:41,31.9,0.0,10.0,10.9,2
3,6,K11,Mañana,09:00,10:16,51.7,0.0,25.0,20.9,5
3,4,K12,Tarde,15:00,15:53,43.7,0.0,10.0,14.8,2
4,3,K11,Mañana,09:00,10:22,67.7,0.0,15.0,27.3,3
4,1,K12,Tarde,15:00,16:20,75.3,0.0,5.0,25.1,1
5,7,K11,Mañana,09:00,10:35,75.6,0.0,20.0,30.7,4
5,6,K12,Tarde,15:00,16:22,72.7,0.0,10.0,24.2,2
6,1,K11,Mañana,09:00,10:53,78.0,0.0,35.0,31.9,7
6,3,K12,Tarde,15:00,16:24,64.2,0.0,20.0,21.2,4
7,2,K11,Mañana,09:00,10:54,95.0,0.0,20.0,38.8,4
7,7,K12,Tarde,15:00,17:09,99.0,0.0,30.0,31.4,6
8,4,K11,Mañana,10:32,12:50,118.0,0.0,20.0,46.9,4
8,5,K12,Tarde,15:10,16:09,48.7,0.0,10.0,16.1,2
9,4,K11,Mañana,10:51,12:46,90.4,0.0,25.0,35.5,5
9,5,K12,Tarde,15:28,16:47,69.1,0.0,10.0,21.9,2
10,6,K21,Mañana,11:00,11:48,33.2,0.0,15.0,13.3,3
10,4,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
11,3,K21,Mañana,11:00,12:46,96.2,0.0,10.0,37.9,2
11,5,K22,Tarde,17:00,17:44,39.5,0.0,5.0,11.6,1
12,4,K21,Mañana,11:00,12:50,90.1,0.0,20.0,35.4,4
12,5,K22,Tarde,17:00,18:05,60.1,0.0,5.0,18.0,1
13,0,K21,Mañana,11:00,12:52,72.7,0.0,40.0,28.3,8
13,0,K22,Tarde,17:00,18:45,75.1,0.0,30.0,24.7,6
14,4,K21,Mañana,11:00,13:30,135.4,0.0,15.0,52.6,3
15,5,K11,Mañana,12:00,13:10,40.2,25.2,5.0,15.2,1
16,5,K11,Mañana,12:00,13:28,49.0,24.2,15.0,18.4,3
17,5,K11,Mañana,12:00,14:46,156.3,0.0,10.0,58.2,2
18,5,K21,Mañana,12:27,14:45,123.1,0.0,15.0,45.6,3
19,5,K21,Mañana,12:28,14:19,86.2,0.0,25.0,32.1,5
