Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,2,K11,Mañana,12:00,19:07,37.8,384.6,5.0,17.0,1
2,2,K11,Mañana,12:00,19:06,35.6,386.2,5.0,16.0,1
3,2,K11,Mañana,12:00,19:06,35.8,385.9,5.0,16.0,1
4,2,K11,Mañana,12:00,19:05,33.4,387.2,5.0,15.0,1
5,2,K11,Mañana,12:00,19:02,27.0,391.0,5.0,12.1,1
6,2,K21,Mañana,14:00,19:30,88.1,237.8,5.0,39.4,1
7,2,K21,Mañana,14:00,19:24,73.4,245.8,5.0,32.9,1
8,2,K21,Mañana,14:00,19:16,56.6,254.7,5.0,25.3,1
9,2,K21,Mañana,14:00,19:12,49.1,258.8,5.0,22.0,1
10,1,K11,Mañana,12:00,17:10,43.6,261.7,5.0,19.6,1
11,1,K11,Mañana,12:00,17:10,43.2,261.9,5.0,19.3,1
12,2,K21,Mañana,14:00,19:09,41.2,262.9,5.0,18.5,1
13,8,K11,Mañana,12:00,15:30,71.8,128.7,10.0,31.7,2
13,2,K12,Tarde,18:00,20:58,119.8,13.2,45.0,57.3,9
14,4,K11,Mañana,12:00,15:29,49.7,140.2,20.0,22.0,4
14,8,K12,Tarde,17:30,18:36,60.9,0.0,5.0,29.4,1
15,7,K21,Mañana,14:00,17:17,59.3,133.0,5.0,26.6,1
16,4,K21,Mañana,14:00,17:14,139.1,20.7,35.0,64.9,7
17,4,K11,Mañana,12:00,15:08,38.3,144.9,5.0,16.9,1
17,4,K12,Tarde,17:08,17:43,30.0,0.0,5.0,14.5,1
18,1,K21,Mañana,14:00,17:06,36.0,145.6,5.0,16.1,1
18,1,K22,Tarde,19:06,19:28,16.5,0.0,5.0,7.8,1
19,5,K21,Mañana,12:25,15:28,147.8,0.0,35.0,62.4,7
19,5,K22,Tarde,17:28,18:22,48.5,0.0,5.0,23.5,1
20,1,K21,Mañana,14:00,17:02,27.4,150.1,5.0,12.2,1
20,1,K22,Tarde,19:02,19:29,21.6,0.0,5.0,10.3,1
