KPI,Valor
Función Objetivo Total ($),1328861.14
Costos de Ruta por Transporte ($),328861.14
Costos Fijos por Uso de Flota ($),1000000.0
Valor de Penalización por Espera ($),0.0
Tiempo de Espera Total (min),0.0
Distancia Total Recorrida (km),349.85
Distancia Relativa (km/pedido),7.44
Vehículos Utilizados,10.0
Vehículos en Desuso,10.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),19.79
% Entregas a Tiempo,100.0
Tardanza Promedio (min),0.0
% Pedidos No Atendidos (Backlog),44.7
Pedidos No Atendidos (qty),38.0
% Utilización Promedio Capacidad Vehículos,71.9
% Utilización Volumen,85.9
% Utilización Peso,57.8
Desviación Media de Carga (kg),79.53
Tasa de Desocupación (%),0.0
Espera Total Acumulada (min),0.0
Emisiones CO2 Totales (kg),144.25
Emisiones CO2 por Pedido (kg),3.069
Litros Diesel Estimados,53.82
Tiempo de Cómputo (min),33.45
