KPI,Valor
Función Objetivo Total ($),234068850.83
Costos de Ruta por Transporte ($),1186703.01
Costos Fijos por Uso de Flota ($),3000000.0
Valor de Penalización por Espera ($),229882147.82
Tiempo de Espera Total (min),4597.6
Distancia Total Recorrida (km),1262.45
Distancia Relativa (km/pedido),10.7
Vehículos Utilizados,30.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,30.0
Tiempo Total en Ruta (horas),131.13
% Entregas a Tiempo,83.1
Tardanza Promedio (min),127.8
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,69.0
% Utilización Volumen,83.3
% Utilización Peso,54.7
Desviación Media de Carga (kg),204.34
Tasa de Desocupación (%),140.6
Espera Total Acumulada (min),4597.6
Emisiones CO2 Totales (kg),520.52
Emisiones CO2 por Pedido (kg),4.411
Litros Diesel Estimados,194.22
Tiempo de Cómputo (min),17.11
