Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,5,K21,Mañana,12:25,15:20,144.2,0.0,30.0,60.7,6
1,2,K22,Tarde,18:46,21:06,109.6,0.0,30.0,52.2,6
2,4,K12,Tarde,15:00,17:26,116.6,0.0,30.0,55.8,6
3,5,K21,Mañana,12:25,14:50,114.3,0.0,30.0,47.6,6
3,2,K22,Tarde,18:45,20:29,79.1,0.0,25.0,37.5,5
4,6,K11,Mañana,10:45,13:08,118.2,0.0,25.0,51.6,5
5,0,K11,Mañana,09:00,11:05,105.1,0.0,20.0,53.3,4
5,8,K12,Tarde,15:00,16:16,66.8,0.0,10.0,31.7,2
6,0,K11,Mañana,09:00,10:50,85.5,0.0,25.0,43.9,5
6,4,K12,Tarde,15:00,16:12,57.9,0.0,15.0,27.5,3
7,0,K11,Mañana,09:00,10:48,93.5,0.0,15.0,48.4,3
7,8,K12,Tarde,15:00,16:07,62.2,0.0,5.0,29.4,1
8,2,K22,Tarde,18:46,20:21,69.8,0.0,25.0,33.0,5
9,7,K22,Tarde,17:00,18:33,68.8,0.0,25.0,33.3,5
10,6,K11,Mañana,10:45,12:11,71.5,0.0,15.0,32.2,3
10,4,K12,Tarde,15:00,16:05,50.9,0.0,15.0,24.2,3
11,3,K21,Mañana,12:36,13:58,67.2,0.0,15.0,27.2,3
11,1,K22,Tarde,17:00,18:17,62.6,0.0,15.0,30.3,3
12,6,K11,Mañana,10:49,12:04,59.9,0.0,15.0,26.8,3
12,0,K12,Tarde,15:00,15:45,40.1,0.0,5.0,18.8,1
13,6,K11,Mañana,10:36,11:49,58.1,0.0,15.0,27.0,3
13,0,K12,Tarde,15:00,15:41,31.0,0.0,10.0,14.6,2
14,0,K11,Mañana,09:00,10:12,57.7,0.0,15.0,30.4,3
14,4,K12,Tarde,15:00,15:40,31.0,0.0,10.0,14.6,2
15,3,K21,Mañana,12:33,13:37,59.3,0.0,5.0,24.1,1
15,7,K22,Tarde,17:00,17:59,54.9,0.0,5.0,26.6,1
16,5,K22,Tarde,17:20,18:13,48.5,0.0,5.0,23.5,1
17,1,K22,Tarde,17:00,17:52,32.9,0.0,20.0,15.9,4
18,5,K22,Tarde,17:00,17:52,42.4,0.0,10.0,20.5,2
19,1,K22,Tarde,17:00,17:50,40.8,0.0,10.0,19.7,2
20,1,K22,Tarde,17:00,17:50,40.7,0.0,10.0,19.7,2
