Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,3,K22,Tarde,18:15,21:54,199.2,0.0,20.0,86.1,4
2,1,K21,Mañana,11:00,14:08,153.5,0.0,35.0,64.2,7
2,3,K22,Tarde,18:22,20:39,122.3,0.0,15.0,50.5,3
3,3,K12,Tarde,15:00,17:45,150.6,0.0,15.0,58.7,3
4,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
4,3,K12,Tarde,16:30,18:42,117.0,0.0,15.0,40.1,3
5,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
5,3,K12,Tarde,16:48,18:43,105.6,0.0,10.0,34.1,2
6,1,K11,Mañana,09:00,11:02,107.9,0.0,15.0,43.0,3
6,1,K12,Tarde,15:00,16:54,105.0,0.0,10.0,44.5,2
7,0,K11,Mañana,09:00,10:57,92.7,0.0,25.0,37.1,5
7,3,K12,Tarde,15:00,16:43,88.1,0.0,15.0,36.5,3
8,1,K22,Tarde,17:00,18:42,82.6,0.0,20.0,27.0,4
9,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
9,1,K12,Tarde,15:00,16:19,74.9,0.0,5.0,31.9,1
10,0,K21,Mañana,12:35,14:09,68.4,0.0,25.0,28.9,5
10,4,K22,Tarde,17:00,18:29,74.2,0.0,15.0,23.9,3
11,1,K21,Mañana,12:23,13:55,77.1,0.0,15.0,32.2,3
11,3,K22,Tarde,18:43,20:09,71.0,0.0,15.0,30.1,3
12,4,K21,Mañana,12:23,13:55,76.2,0.0,15.0,31.8,3
12,1,K22,Tarde,17:00,18:12,62.6,0.0,10.0,19.9,2
13,0,K11,Mañana,09:00,10:26,81.0,0.0,5.0,31.3,1
13,4,K12,Tarde,15:00,16:16,66.2,0.0,10.0,28.1,2
14,1,K21,Mañana,11:00,12:22,62.5,0.0,20.0,26.0,4
14,1,K22,Tarde,17:00,18:01,56.9,0.0,5.0,18.5,1
15,1,K11,Mañana,09:00,10:11,57.0,0.0,15.0,22.0,3
15,0,K12,Tarde,15:00,16:00,51.0,0.0,10.0,21.7,2
16,3,K21,Mañana,12:33,13:40,56.8,0.0,10.0,23.7,2
16,0,K22,Tarde,17:00,17:53,43.9,0.0,10.0,14.3,2
17,1,K11,Mañana,09:00,09:58,43.1,0.0,15.0,16.6,3
17,3,K12,Tarde,15:00,15:56,46.2,0.0,10.0,19.7,2
18,1,K11,Mañana,09:00,09:56,41.7,0.0,15.0,16.0,3
18,3,K12,Tarde,16:47,17:42,40.0,0.0,15.0,13.2,3
19,1,K21,Mañana,11:00,11:56,41.2,0.0,15.0,17.2,3
19,1,K22,Tarde,17:00,17:41,31.3,0.0,10.0,10.2,2
20,1,K12,Tarde,15:00,15:52,42.5,0.0,10.0,18.2,2
