Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,5,K11,Mañana,09:00,09:41,31.2,0.0,10.0,10.9,2
1,6,K12,Tarde,15:00,15:41,36.5,0.0,5.0,15.0,1
2,0,K11,Mañana,09:00,09:55,40.9,0.0,15.0,14.3,3
2,0,K12,Tarde,15:00,15:45,40.8,0.0,5.0,16.7,1
3,5,K11,Mañana,09:00,10:14,49.5,0.0,25.0,17.6,5
3,5,K12,Tarde,15:00,16:06,41.7,0.0,25.0,16.6,5
4,3,K11,Mañana,09:00,10:23,58.9,0.0,25.0,21.1,5
4,3,K12,Tarde,15:00,16:35,85.6,0.0,10.0,34.1,2
5,1,K11,Mañana,09:00,10:29,74.3,0.0,15.0,26.5,3
6,6,K11,Mañana,09:00,10:52,87.0,0.0,25.0,31.8,5
7,2,K11,Mañana,09:00,11:48,143.9,0.0,25.0,53.6,5
8,5,K21,Mañana,11:00,11:39,29.1,0.0,10.0,11.1,2
8,5,K22,Tarde,17:00,17:26,21.1,0.0,5.0,6.5,1
9,0,K21,Mañana,11:00,12:07,52.4,0.0,15.0,20.1,3
9,0,K22,Tarde,17:00,18:35,80.0,0.0,15.0,23.3,3
10,3,K21,Mañana,11:00,12:24,79.6,0.0,5.0,30.5,1
