Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,4,K21,Mañana,11:00,13:23,118.0,0.0,25.0,45.5,5
1,5,K22,Tarde,17:00,17:55,50.8,0.0,5.0,15.2,1
2,2,K11,Mañana,09:00,10:54,95.0,0.0,20.0,38.8,4
2,7,K12,Tarde,15:00,16:49,84.0,0.0,25.0,27.1,5
3,4,K21,Mañana,11:00,12:49,100.0,0.0,10.0,39.4,2
3,5,K22,Tarde,17:00,17:46,42.0,0.0,5.0,12.4,1
4,5,K21,Mañana,12:12,13:58,101.7,0.0,5.0,38.1,1
4,4,K22,Tarde,17:00,17:45,40.2,0.0,5.0,11.9,1
5,5,K21,Mañana,12:42,14:26,89.1,0.0,15.0,32.8,3
5,5,K22,Tarde,17:00,17:44,39.5,0.0,5.0,11.6,1
6,1,K11,Mañana,09:00,10:43,78.2,0.0,25.0,31.9,5
6,0,K12,Tarde,15:00,16:42,82.1,0.0,20.0,26.9,4
7,1,K12,Tarde,15:00,16:34,79.7,0.0,15.0,26.4,3
8,5,K21,Mañana,12:28,14:02,73.6,0.0,20.0,27.5,4
8,4,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
9,3,K11,Mañana,09:00,10:33,83.1,0.0,10.0,33.6,2
9,6,K12,Tarde,15:00,16:22,72.7,0.0,10.0,24.2,2
10,5,K21,Mañana,12:31,14:04,78.0,0.0,15.0,29.0,3
10,5,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
11,7,K11,Mañana,09:00,10:29,69.7,0.0,20.0,28.2,4
11,0,K12,Tarde,15:00,16:16,56.8,0.0,20.0,18.9,4
12,4,K21,Mañana,11:00,12:25,70.9,0.0,15.0,28.0,3
12,5,K22,Tarde,17:00,17:38,34.0,0.0,5.0,10.0,1
13,5,K21,Mañana,12:37,14:02,74.5,0.0,10.0,27.6,2
13,4,K22,Tarde,17:00,17:38,33.6,0.0,5.0,9.8,1
14,4,K21,Mañana,11:00,12:23,63.7,0.0,20.0,25.2,4
14,4,K22,Tarde,17:00,17:34,29.9,0.0,5.0,8.7,1
15,5,K21,Mañana,12:27,13:47,69.4,0.0,10.0,26.0,2
16,3,K11,Mañana,09:00,10:12,57.2,0.0,15.0,23.0,3
16,3,K12,Tarde,15:00,16:00,55.9,0.0,5.0,18.9,1
17,6,K11,Mañana,09:00,10:11,51.2,0.0,20.0,20.6,4
17,3,K12,Tarde,15:00,15:59,49.0,0.0,10.0,16.5,2
18,0,K11,Mañana,09:00,10:08,34.0,0.0,35.0,13.7,7
18,0,K12,Tarde,15:00,15:50,35.5,0.0,15.0,12.0,3
19,4,K21,Mañana,11:00,12:04,54.3,0.0,10.0,21.6,2
20,0,K11,Mañana,09:00,09:52,27.3,0.0,25.0,10.9,5
20,6,K12,Tarde,15:00,15:21,16.7,0.0,5.0,5.9,1
