Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,8,K21,Mañana,12:25,15:23,99.5,67.6,10.0,42.6,2
1,2,K22,Tarde,18:43,21:02,109.7,0.0,30.0,52.2,6
2,4,K12,Tarde,15:00,17:26,116.6,0.0,30.0,55.8,6
3,5,K21,Mañana,12:24,14:51,111.6,0.0,35.0,46.5,7
3,1,K22,Tarde,18:33,20:32,93.9,0.0,25.0,44.6,5
4,5,K21,Mañana,12:40,14:51,111.4,0.0,20.0,45.9,4
4,2,K22,Tarde,18:42,20:39,92.0,0.0,25.0,43.7,5
5,6,K11,Mañana,10:20,12:16,101.7,0.0,15.0,46.7,3
5,8,K12,Tarde,15:00,16:17,67.6,0.0,10.0,32.1,2
6,0,K11,Mañana,09:00,10:47,87.5,0.0,20.0,44.7,4
6,4,K12,Tarde,15:00,16:12,57.9,0.0,15.0,27.5,3
7,6,K11,Mañana,10:45,12:27,82.0,0.0,20.0,36.5,4
7,4,K12,Tarde,15:00,16:05,50.9,0.0,15.0,24.2,3
8,0,K11,Mañana,09:00,10:37,82.9,0.0,15.0,42.8,3
8,3,K12,Tarde,15:00,15:56,51.1,0.0,5.0,24.1,1
9,7,K22,Tarde,17:00,18:33,68.8,0.0,25.0,33.3,5
10,0,K11,Mañana,09:00,10:33,68.3,0.0,25.0,35.0,5
10,3,K12,Tarde,15:00,15:51,46.3,0.0,5.0,21.8,1
11,6,K11,Mañana,10:55,12:22,67.0,0.0,20.0,29.4,4
11,0,K12,Tarde,15:00,15:48,38.1,0.0,10.0,18.0,2
12,3,K21,Mañana,12:36,13:58,67.2,0.0,15.0,27.2,3
12,1,K22,Tarde,17:00,18:06,51.9,0.0,15.0,25.1,3
13,6,K11,Mañana,10:36,11:58,71.9,0.0,10.0,33.2,2
13,0,K12,Tarde,15:00,15:45,40.1,0.0,5.0,18.8,1
14,0,K11,Mañana,09:00,10:10,55.3,0.0,15.0,29.1,3
14,4,K12,Tarde,15:00,15:40,31.0,0.0,10.0,14.6,2
15,3,K11,Mañana,10:34,11:37,58.3,0.0,5.0,27.2,1
15,4,K12,Tarde,15:00,15:40,25.7,0.0,15.0,12.1,3
16,3,K11,Mañana,10:35,11:36,55.3,0.0,5.0,25.8,1
16,0,K12,Tarde,15:00,15:40,30.0,0.0,10.0,14.1,2
17,7,K22,Tarde,17:00,17:59,54.9,0.0,5.0,26.6,1
18,2,K22,Tarde,18:46,19:45,39.3,0.0,20.0,18.6,4
19,5,K22,Tarde,17:00,17:52,42.4,0.0,10.0,20.5,2
20,1,K22,Tarde,17:00,17:50,40.7,0.0,10.0,19.7,2
