Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K11,Mañana,09:00,10:26,66.1,0.0,20.0,26.0,4
1,1,K12,Tarde,15:00,15:17,12.4,0.0,5.0,5.4,1
2,4,K11,Mañana,09:00,10:50,95.6,0.0,15.0,38.0,3
2,5,K12,Tarde,15:00,15:41,31.8,0.0,10.0,13.7,2
3,0,K11,Mañana,09:00,11:02,92.2,0.0,30.0,37.0,6
3,1,K12,Tarde,15:00,15:42,28.0,0.0,15.0,12.0,3
4,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
4,1,K12,Tarde,15:00,15:48,43.0,0.0,5.0,18.5,1
5,1,K11,Mañana,09:00,11:15,110.0,0.0,25.0,43.9,5
5,0,K12,Tarde,15:00,16:00,51.0,0.0,10.0,21.7,2
6,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
6,1,K12,Tarde,15:00,16:08,53.5,0.0,15.0,22.7,3
7,1,K11,Mañana,10:41,11:26,34.7,0.0,10.0,14.4,2
7,4,K12,Tarde,15:00,16:11,56.3,0.0,15.0,23.9,3
8,1,K11,Mañana,10:58,11:05,2.5,0.0,5.0,1.0,1
8,1,K12,Tarde,15:00,16:19,74.9,0.0,5.0,31.9,1
9,5,K21,Mañana,11:00,11:45,40.5,0.0,5.0,16.9,1
9,1,K22,Tarde,17:00,17:36,31.7,0.0,5.0,10.6,1
10,1,K21,Mañana,11:00,11:50,30.3,0.0,20.0,12.6,4
10,1,K22,Tarde,17:00,17:40,30.8,0.0,10.0,10.1,2
11,1,K21,Mañana,11:00,12:13,54.0,0.0,20.0,22.5,4
11,1,K22,Tarde,17:00,17:56,42.0,0.0,15.0,13.4,3
12,1,K21,Mañana,11:00,13:35,130.5,0.0,25.0,54.4,5
12,0,K22,Tarde,17:00,18:11,56.0,0.0,15.0,17.9,3
13,3,K11,Mañana,12:00,12:57,15.4,37.2,5.0,6.4,1
13,3,K12,Tarde,16:30,19:40,173.4,6.6,10.0,60.9,2
14,3,K11,Mañana,12:00,15:03,28.3,150.7,5.0,12.0,1
14,3,K12,Tarde,17:03,18:17,63.7,0.0,10.0,20.2,2
15,3,K11,Mañana,12:00,15:50,86.5,134.5,10.0,36.8,2
15,3,K12,Tarde,17:50,18:47,36.2,0.0,20.0,12.0,4
16,1,K21,Mañana,12:23,14:09,80.4,0.0,25.0,33.7,5
16,1,K22,Tarde,17:00,19:22,127.5,0.0,15.0,43.2,3
17,4,K21,Mañana,12:23,13:59,76.2,0.0,20.0,31.8,4
17,3,K22,Tarde,17:14,20:51,196.9,0.0,20.0,74.6,4
18,3,K21,Mañana,12:33,15:14,100.2,50.8,10.0,42.2,2
18,3,K22,Tarde,18:11,20:15,113.8,0.0,10.0,42.7,2
19,0,K21,Mañana,12:35,14:35,100.4,0.0,20.0,42.5,4
19,3,K22,Tarde,18:35,19:26,40.4,0.0,10.0,15.7,2
20,1,K21,Mañana,12:44,13:20,31.3,0.0,5.0,13.0,1
21,3,K21,Mañana,14:00,15:21,45.5,25.5,10.0,19.7,2
22,3,K21,Mañana,14:00,16:11,84.8,32.0,15.0,36.3,3
23,3,K12,Tarde,18:00,19:43,93.6,0.0,10.0,32.7,2
