Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,8,K21,Mañana,12:25,15:23,99.5,67.6,10.0,42.6,2
1,2,K22,Tarde,18:43,21:01,113.1,0.0,25.0,53.8,5
2,6,K11,Mañana,10:44,13:32,148.8,0.0,20.0,65.2,4
3,4,K12,Tarde,15:00,17:26,116.6,0.0,30.0,55.8,6
4,5,K21,Mañana,12:41,15:05,124.3,0.0,20.0,51.9,4
4,2,K22,Tarde,18:50,21:08,97.7,0.0,40.0,46.6,8
5,0,K11,Mañana,09:00,11:06,101.8,0.0,25.0,51.4,5
5,8,K12,Tarde,15:00,16:17,67.6,0.0,10.0,32.1,2
6,5,K21,Mañana,12:51,14:56,90.0,0.0,35.0,37.6,7
6,1,K22,Tarde,18:33,20:32,93.9,0.0,25.0,44.6,5
7,0,K11,Mañana,09:00,10:56,101.7,0.0,15.0,52.4,3
7,4,K12,Tarde,15:00,16:12,57.9,0.0,15.0,27.5,3
8,7,K22,Tarde,17:00,18:33,68.8,0.0,25.0,33.3,5
9,6,K11,Mañana,10:55,12:20,69.6,0.0,15.0,30.7,3
9,4,K12,Tarde,15:00,16:05,50.9,0.0,15.0,24.2,3
10,3,K21,Mañana,12:36,13:58,67.2,0.0,15.0,27.2,3
10,1,K22,Tarde,17:00,18:06,51.9,0.0,15.0,25.1,3
11,0,K11,Mañana,09:00,10:20,65.5,0.0,15.0,34.3,3
11,3,K12,Tarde,15:00,15:56,51.1,0.0,5.0,24.1,1
12,6,K11,Mañana,10:48,12:03,60.2,0.0,15.0,27.1,3
12,3,K12,Tarde,15:00,15:51,46.3,0.0,5.0,21.8,1
13,6,K11,Mañana,10:45,11:54,54.5,0.0,15.0,24.7,3
13,0,K12,Tarde,15:00,15:48,38.1,0.0,10.0,18.0,2
14,3,K11,Mañana,10:34,11:37,58.3,0.0,5.0,27.2,1
14,0,K12,Tarde,15:00,15:45,40.1,0.0,5.0,18.8,1
15,3,K11,Mañana,10:35,11:36,55.3,0.0,5.0,25.8,1
15,4,K12,Tarde,15:00,15:40,31.0,0.0,10.0,14.6,2
16,7,K22,Tarde,17:00,17:59,54.9,0.0,5.0,26.6,1
17,5,K22,Tarde,17:00,17:59,49.2,0.0,10.0,23.8,2
18,0,K11,Mañana,09:00,09:56,36.5,0.0,20.0,19.4,4
18,4,K12,Tarde,15:00,15:40,25.7,0.0,15.0,12.1,3
19,1,K22,Tarde,17:00,17:50,40.7,0.0,10.0,19.7,2
20,2,K22,Tarde,18:46,19:32,35.9,0.0,10.0,17.1,2
