Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,0,K11,Mañana,09:00,09:52,32.7,0.0,20.0,13.1,4
1,4,K12,Tarde,15:00,15:34,29.8,0.0,5.0,10.3,1
2,6,K11,Mañana,09:00,10:16,51.7,0.0,25.0,20.9,5
2,4,K12,Tarde,15:00,15:39,34.5,0.0,5.0,11.9,1
3,3,K11,Mañana,09:00,10:21,61.7,0.0,20.0,24.9,4
3,3,K12,Tarde,15:00,16:13,58.3,0.0,15.0,19.4,3
4,0,K11,Mañana,09:00,10:21,56.9,0.0,25.0,23.0,5
4,6,K12,Tarde,15:00,16:22,72.7,0.0,10.0,24.2,2
5,7,K11,Mañana,09:00,10:41,81.4,0.0,20.0,33.1,4
5,1,K12,Tarde,15:00,16:34,79.7,0.0,15.0,26.4,3
6,1,K11,Mañana,09:00,10:43,78.2,0.0,25.0,31.9,5
6,7,K12,Tarde,15:00,17:02,92.9,0.0,30.0,29.6,6
7,2,K11,Mañana,09:00,10:54,95.0,0.0,20.0,38.8,4
7,0,K12,Tarde,15:00,17:29,109.2,0.0,40.0,34.4,8
8,4,K11,Mañana,10:32,12:48,110.9,0.0,25.0,44.0,5
8,5,K12,Tarde,15:11,16:01,45.2,0.0,5.0,15.2,1
9,4,K11,Mañana,10:38,12:59,110.3,0.0,30.0,43.5,6
9,5,K12,Tarde,15:21,16:04,37.9,0.0,5.0,12.4,1
10,3,K21,Mañana,11:00,11:35,30.7,0.0,5.0,12.3,1
10,5,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
11,6,K21,Mañana,11:00,11:48,33.2,0.0,15.0,13.3,3
11,4,K22,Tarde,17:00,17:41,36.4,0.0,5.0,10.7,1
12,0,K21,Mañana,11:00,11:55,30.7,0.0,25.0,12.2,5
12,0,K22,Tarde,17:00,18:15,55.5,0.0,20.0,16.8,4
13,4,K21,Mañana,11:00,12:27,67.4,0.0,20.0,26.6,4
13,3,K22,Tarde,17:00,18:49,104.3,0.0,5.0,31.3,1
14,4,K21,Mañana,11:00,13:30,140.2,0.0,10.0,54.4,2
14,5,K22,Tarde,17:00,19:06,121.7,0.0,5.0,38.1,1
15,5,K11,Mañana,12:00,13:11,32.4,29.3,10.0,12.2,2
16,5,K11,Mañana,12:00,13:21,49.8,21.7,10.0,18.7,2
17,5,K11,Mañana,12:00,14:30,118.5,12.0,20.0,44.1,4
18,5,K21,Mañana,12:27,14:24,96.5,0.0,20.0,35.9,4
19,5,K21,Mañana,12:42,14:49,106.8,0.0,20.0,39.3,4
