KPI,Valor
Función Objetivo Total ($),52973610.68
Costos de Ruta por Transporte ($),944734.93
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),50028875.75
Tiempo de Espera Total (min),1000.6
Distancia Total Recorrida (km),1005.04
Distancia Relativa (km/pedido),10.69
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),55.38
% Entregas a Tiempo,100.0
Tardanza Promedio (min),0.0
% Pedidos No Atendidos (Backlog),18.3
Pedidos No Atendidos (qty),21.0
% Utilización Promedio Capacidad Vehículos,68.1
% Utilización Volumen,81.5
% Utilización Peso,54.8
Desviación Media de Carga (kg),144.34
Tasa de Desocupación (%),38.0
Espera Total Acumulada (min),1000.6
Emisiones CO2 Totales (kg),414.38
Emisiones CO2 por Pedido (kg),4.408
Litros Diesel Estimados,154.62
Tiempo de Cómputo (min),41.54
