KPI,Valor
Función Objetivo Total ($),3711215.7
Costos de Ruta por Transporte ($),1235914.97
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),475300.73
Tiempo de Espera Total (min),9.5
Distancia Total Recorrida (km),1314.8
Distancia Relativa (km/pedido),11.43
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),56.61
% Entregas a Tiempo,98.3
Tardanza Promedio (min),0.9
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,101.1
% Utilización Volumen,120.9
% Utilización Peso,81.3
Desviación Media de Carga (kg),93.5
Tasa de Desocupación (%),0.3
Espera Total Acumulada (min),9.5
Emisiones CO2 Totales (kg),542.1
Emisiones CO2 por Pedido (kg),4.714
Litros Diesel Estimados,202.28
Tiempo de Cómputo (min),31.5
